1000,0.637,1.111
2000,0.704,0.908
3000,0.717,0.877
4000,0.728,0.833
5000,0.735,0.813
6000,0.738,0.800
7000,0.742,0.780
8000,0.748,0.774
9000,0.752,0.765
10000,0.753,0.747
11000,0.755,0.749
12000,0.761,0.737
13000,0.761,0.727
14000,0.764,0.721
15000,0.762,0.725
16000,0.770,0.703
17000,0.771,0.697
18000,0.770,0.697
19000,0.772,0.692
20000,0.774,0.689
21000,0.777,0.677
22000,0.774,0.682
23000,0.781,0.666
24000,0.781,0.663
25000,0.781,0.662
26000,0.784,0.660
27000,0.783,0.656
28000,0.781,0.672
29000,0.786,0.651
30000,0.785,0.654
31000,0.787,0.655
32000,0.789,0.647
33000,0.789,0.644
34000,0.793,0.638
35000,0.797,0.625
36000,0.795,0.628
37000,0.797,0.623
38000,0.800,0.607
39000,0.798,0.616
40000,0.793,0.640
41000,0.799,0.614
42000,0.803,0.610
43000,0.798,0.617
44000,0.801,0.611
45000,0.804,0.604
46000,0.797,0.615
47000,0.799,0.617
48000,0.805,0.602
49000,0.809,0.591
50000,0.796,0.620
