1000,0.365,1.862
2000,0.454,1.506
3000,0.476,1.443
4000,0.494,1.402
5000,0.506,1.371
6000,0.513,1.353
7000,0.519,1.336
8000,0.525,1.322
9000,0.531,1.304
10000,0.532,1.309
11000,0.534,1.296
12000,0.539,1.285
13000,0.545,1.280
14000,0.544,1.272
15000,0.549,1.266
16000,0.550,1.257
17000,0.556,1.246
18000,0.553,1.247
19000,0.555,1.245
20000,0.556,1.235
21000,0.558,1.229
22000,0.562,1.223
23000,0.565,1.220
24000,0.564,1.219
25000,0.567,1.214
26000,0.566,1.219
27000,0.571,1.207
28000,0.570,1.202
29000,0.570,1.207
30000,0.567,1.205
31000,0.577,1.193
32000,0.571,1.202
33000,0.576,1.193
34000,0.572,1.194
35000,0.576,1.191
36000,0.576,1.187
37000,0.575,1.185
38000,0.575,1.187
39000,0.577,1.182
40000,0.579,1.179
41000,0.579,1.184
42000,0.583,1.171
43000,0.582,1.176
44000,0.585,1.174
45000,0.580,1.174
46000,0.582,1.169
47000,0.587,1.158
48000,0.585,1.165
49000,0.586,1.159
50000,0.587,1.160
