epoch,acc,loss,val_acc,val_loss
0,0.33054,1.71612330971,0.4381,1.45950541325
1,0.43338,1.50268546638,0.4854,1.39309094868
2,0.4765,1.41481301971,0.5188,1.29738111458
3,0.49662,1.36733450493,0.5125,1.30445806789
4,0.51018,1.33585283958,0.5385,1.23597547092
5,0.51836,1.31720523888,0.5433,1.22281242332
6,0.52682,1.30168092148,0.5309,1.27992517796
7,0.53236,1.28248512501,0.5542,1.20595234852
8,0.53532,1.27525209816,0.5629,1.19244060211
9,0.54174,1.25802155136,0.5508,1.23485418396
10,0.54222,1.25365752094,0.5701,1.17163988781
11,0.54848,1.24574189629,0.5799,1.15248289757
12,0.55142,1.23168863953,0.5669,1.17906311016
13,0.5508,1.2322644799,0.5877,1.13406606998
14,0.5572,1.22353730225,0.5601,1.20843473587
15,0.5608,1.21640504875,0.5714,1.17723235893
16,0.55978,1.21290624302,0.5828,1.14555662098
17,0.56264,1.20710276985,0.5843,1.14554630375
18,0.56476,1.20185574467,0.5721,1.1680912365
19,0.56482,1.19818522406,0.5714,1.18075602245
20,0.5698,1.19077002327,0.5776,1.13457107353
21,0.56856,1.18814672096,0.5805,1.15727860622
22,0.57016,1.18426803545,0.5935,1.12460864334
23,0.57472,1.1841369294,0.5955,1.09768096943
24,0.57368,1.1783957682,0.5977,1.10112984295
25,0.57412,1.17767939064,0.5997,1.09160704403
26,0.57774,1.17193796021,0.5853,1.15255638828
27,0.57972,1.16609264374,0.6033,1.09755219097
28,0.58014,1.16282237049,0.6097,1.08660033588
29,0.57844,1.16348406025,0.6008,1.09983730831
30,0.58136,1.16049766621,0.5969,1.10651870251
31,0.58116,1.1543021059,0.6023,1.0975488472
32,0.58152,1.15901662758,0.6093,1.07590617294
33,0.5789,1.15899959919,0.588,1.11826020203
34,0.58464,1.15388396927,0.5999,1.08668557186
35,0.58642,1.14501097736,0.6132,1.06395965462
36,0.5833,1.14936343197,0.5835,1.14258036041
37,0.58628,1.14497054531,0.6155,1.05523884697
38,0.5836,1.14971643307,0.6175,1.05352633286
39,0.5883,1.14011568382,0.6178,1.06232148991
40,0.58984,1.13725846962,0.6167,1.06123498955
41,0.5862,1.13874249256,0.6068,1.07203102703
42,0.58882,1.13660171364,0.5985,1.11092956562
43,0.59084,1.13280783634,0.614,1.07196348782
44,0.5903,1.13373916267,0.6216,1.05007483578
45,0.59334,1.12731051121,0.5965,1.12704892979
46,0.58968,1.13339872879,0.6254,1.03657796211
47,0.59794,1.12461334206,0.6081,1.07628248978
48,0.59612,1.12157114155,0.6182,1.05436322212
49,0.59654,1.12211090889,0.6003,1.12543390522
50,0.59574,1.12178477371,0.6172,1.04118237858
51,0.59674,1.118137314,0.6198,1.05309684811
52,0.59584,1.11484809448,0.6148,1.05423339939
53,0.59872,1.11729651127,0.6207,1.04125221863
54,0.59544,1.11936155121,0.6323,1.02476899967
55,0.59614,1.11710272858,0.6259,1.03855456696
56,0.59946,1.11208892921,0.6294,1.03282300072
57,0.59924,1.10766741161,0.6228,1.02812167568
58,0.60126,1.10356767782,0.6282,1.01841290646
59,0.60106,1.10821760435,0.6224,1.04271985435
60,0.60174,1.10544597832,0.6225,1.05221194897
61,0.59976,1.10888390965,0.6322,1.01541886997
62,0.60336,1.10059685406,0.6243,1.03506558113
63,0.6021,1.10040816257,0.6296,1.01516771564
64,0.60308,1.10139462704,0.6263,1.01779802532
65,0.60482,1.09856626865,0.6362,1.00515083961
66,0.6062,1.0926411451,0.6226,1.04759432812
67,0.60276,1.09945041069,0.615,1.05421263866
68,0.6035,1.09492110191,0.6207,1.04655684662
69,0.61006,1.08538542992,0.6359,1.00417331963
70,0.60444,1.0945755765,0.6313,1.02875025272
71,0.60606,1.09205075001,0.6185,1.04156786079
72,0.6076,1.08867678822,0.6424,0.990078817558
73,0.6077,1.08700681965,0.6169,1.04748387489
74,0.60942,1.08825910923,0.6316,1.01528765926
75,0.61008,1.08276928474,0.6365,0.997753765488
76,0.60842,1.08990110012,0.6233,1.03942464142
77,0.61058,1.08350543991,0.6388,0.988714168167
78,0.6118,1.0847446748,0.6385,0.992520225334
79,0.60858,1.08209947273,0.6282,1.02657300472
