epoch,acc,loss,val_acc,val_loss
0,0.56816,1.18432013453,0.6227,1.10782237892
1,0.68268,0.898470100307,0.6224,1.05338006077
2,0.69562,0.864199786797,0.6717,0.942632300663
3,0.70488,0.844416667557,0.658,0.960682930183
4,0.70742,0.831301870327,0.7158,0.804383320045
5,0.71588,0.819325536995,0.6795,0.910874511623
6,0.71668,0.81452224308,0.6953,0.888413217926
7,0.71938,0.805657502556,0.6784,0.966623219585
8,0.72312,0.800462800674,0.7486,0.720636612415
9,0.72268,0.799524815083,0.7315,0.763394582653
10,0.72484,0.792286657848,0.7206,0.778117450809
11,0.72602,0.78532494627,0.7168,0.806184815884
12,0.7283,0.780281280499,0.7242,0.809918715
13,0.7284,0.782483269329,0.7546,0.712920052719
14,0.72876,0.781355918503,0.7503,0.713856461525
15,0.73368,0.774560678005,0.7183,0.802640783882
16,0.73164,0.774360318489,0.7151,0.827192150211
17,0.73108,0.770630911903,0.7081,0.827046693611
18,0.73426,0.76800228714,0.7441,0.728277169895
19,0.73304,0.766797894039,0.7476,0.734640752602
20,0.73394,0.761037402573,0.7336,0.762851157475
21,0.73306,0.764786684923,0.7593,0.694185137081
22,0.73442,0.758776725903,0.7201,0.786884800816
23,0.73432,0.762656607113,0.7327,0.788967951393
24,0.73524,0.758026724072,0.7648,0.682010296345
25,0.73648,0.755870443592,0.7514,0.719305622387
26,0.73872,0.755608475437,0.7587,0.690941056633
27,0.73532,0.759188310661,0.7585,0.685541702652
28,0.73872,0.750351386204,0.7704,0.671979179955
29,0.73836,0.752100309124,0.753,0.716964822865
30,0.73864,0.75168593174,0.7768,0.647545343399
31,0.73908,0.757192235489,0.7471,0.730057735157
32,0.7399,0.74831103611,0.7227,0.788787642097
33,0.7398,0.749553796482,0.7187,0.781150303555
34,0.7375,0.750693645592,0.7408,0.72806338625
35,0.73834,0.749916480942,0.744,0.754881896877
36,0.73862,0.751147787752,0.7744,0.652558724403
37,0.7386,0.751015433483,0.7669,0.66868074522
38,0.73974,0.743356351357,0.7241,0.811021698189
39,0.74138,0.743691991425,0.6944,0.902383134556
40,0.74052,0.744097033863,0.7684,0.683469805527
41,0.7395,0.747841913834,0.7415,0.745183726501
42,0.74012,0.74653013113,0.7608,0.685547201252
43,0.73884,0.7437971562,0.7526,0.70769824729
44,0.74156,0.7406929146,0.7537,0.717131656647
45,0.74314,0.739429666691,0.75,0.724655951977
46,0.74162,0.741927530708,0.742,0.738154998875
47,0.74178,0.74273599638,0.7682,0.656455979252
48,0.74106,0.738876167774,0.7703,0.671036559486
49,0.74072,0.745362396526,0.7121,0.781394705391
50,0.73792,0.747975465508,0.7634,0.679246053505
51,0.73968,0.743300209999,0.7636,0.685860305977
52,0.74274,0.739311638374,0.7329,0.754971895695
53,0.7416,0.741609995098,0.7505,0.724265019512
54,0.74228,0.739136570568,0.7181,0.79667970295
55,0.7408,0.740804551992,0.7463,0.739346571541
56,0.74284,0.736956215382,0.7471,0.71853353653
57,0.74262,0.739413369274,0.7737,0.655447123432
58,0.74326,0.739679613495,0.7295,0.793818104172
59,0.74494,0.738195888195,0.7611,0.676623927689
60,0.74118,0.738502011433,0.7607,0.684299459743
61,0.7415,0.738038862705,0.7768,0.645375336552
62,0.74168,0.737327467651,0.7539,0.717953520203
63,0.74294,0.736326451464,0.7369,0.771134221458
64,0.74486,0.733305856743,0.7349,0.748253868198
65,0.7426,0.734750735683,0.7592,0.695020638943
66,0.7453,0.729673439579,0.7481,0.716150504494
67,0.74258,0.736983710175,0.7576,0.707260503387
68,0.74548,0.735498134899,0.7576,0.684815899563
69,0.74336,0.735246594334,0.7595,0.691655663395
70,0.7465,0.728588464642,0.7663,0.662931238461
71,0.74218,0.734772264805,0.7246,0.791726881599
72,0.74328,0.734449578934,0.759,0.704169593716
73,0.74338,0.731907190609,0.7613,0.691016499805
74,0.74654,0.731634077396,0.7601,0.690480763721
75,0.74284,0.734057896729,0.7789,0.649361549282
76,0.7473,0.72990647789,0.7613,0.675273170567
77,0.744,0.733539127789,0.7539,0.711094573879
78,0.7449,0.729653512955,0.7604,0.6954860116
79,0.74444,0.734345886307,0.7556,0.704822168446
80,0.74598,0.730361602201,0.7725,0.661503314447
81,0.7442,0.731004149895,0.7582,0.706399153948
82,0.74368,0.731417603416,0.77,0.660047335815
83,0.74384,0.733334713573,0.7702,0.654302459145
84,0.74564,0.735106718216,0.7587,0.704526174164
85,0.7471,0.727291369524,0.7631,0.674078664207
86,0.74528,0.727717579899,0.7695,0.659087243319
87,0.74688,0.727420437126,0.7616,0.686911676216
88,0.74812,0.726039617834,0.7731,0.65273181181
89,0.7442,0.733000361614,0.7697,0.660812402725
90,0.74924,0.726954513741,0.7699,0.66867968111
91,0.74586,0.730778373747,0.7717,0.660838991451
92,0.74744,0.726483592739,0.765,0.676786017799
93,0.74696,0.725461576176,0.7685,0.668547397804
94,0.74758,0.726650412636,0.7543,0.709229781246
95,0.7459,0.72801827919,0.7662,0.669715612888
96,0.74624,0.726414050293,0.7734,0.654483226967
97,0.74894,0.723088678913,0.7773,0.638358745766
98,0.74764,0.724523217392,0.7768,0.646375183392
99,0.74916,0.723375684395,0.7571,0.691078060627
