epoch,acc,loss,val_acc,val_loss
0,0.74068,0.7435415061,0.7757,0.639192668009
1,0.74638,0.729667906342,0.7785,0.632598130369
2,0.74818,0.724994151955,0.7761,0.636135459566
3,0.7478,0.723486535988,0.7804,0.634954877663
4,0.74776,0.725308146458,0.7818,0.629978012371
5,0.748,0.720322128487,0.7803,0.626753438377
6,0.74856,0.721041772213,0.7801,0.628966884184
7,0.74724,0.721528168144,0.7817,0.626672219467
8,0.74596,0.723175582581,0.7799,0.629520708323
9,0.74738,0.723845767212,0.783,0.626421642017
10,0.74868,0.724858691959,0.785,0.622927853107
11,0.7461,0.719357511826,0.7836,0.622108853388
12,0.75038,0.716769077148,0.7852,0.625365993166
13,0.74704,0.720308982372,0.783,0.625351605082
14,0.75124,0.718366852741,0.7814,0.623364261484
15,0.75144,0.718971507797,0.7802,0.626454961538
16,0.7499,0.720076162176,0.7847,0.62227197175
17,0.75072,0.718762525196,0.7812,0.62556881485
18,0.7475,0.719118059788,0.7856,0.621421789217
19,0.7487,0.718396599445,0.7843,0.623824059296
20,0.74968,0.719495843906,0.7823,0.625312677479
21,0.75176,0.715040878773,0.782,0.625945393372
22,0.74982,0.71292227396,0.7799,0.627116812325
23,0.74956,0.716321996136,0.7828,0.623315318632
24,0.75274,0.710215203114,0.782,0.624712347698
25,0.749,0.718327036686,0.7835,0.62384106245
26,0.75178,0.713758309994,0.781,0.626118969154
27,0.75004,0.711673325825,0.7783,0.629766379261
28,0.75264,0.713166470184,0.7828,0.623524018288
29,0.75224,0.715858790169,0.7839,0.626036828041
30,0.74814,0.719850662355,0.7831,0.620658240414
31,0.75126,0.713345901499,0.7814,0.621672836971
32,0.7507,0.714085483513,0.7853,0.618949933338
33,0.75092,0.713051231613,0.785,0.617635933924
34,0.75046,0.71412758625,0.7832,0.62316827116
35,0.74762,0.716742077503,0.7816,0.622891505575
36,0.75128,0.712466444492,0.783,0.618013813305
37,0.749,0.718490769653,0.7825,0.624977576447
38,0.75154,0.711392560844,0.7815,0.623180710506
39,0.75186,0.714036740532,0.7808,0.620411146307
40,0.75062,0.714081702976,0.7844,0.620330250645
41,0.74872,0.711962236185,0.7844,0.622296854019
42,0.74938,0.712126286049,0.7829,0.618230857515
43,0.7535,0.713473038502,0.7827,0.618588173485
44,0.7514,0.711357340508,0.781,0.621486519623
45,0.74924,0.718729777699,0.7823,0.620822802019
46,0.75176,0.709501098118,0.7822,0.621039728403
47,0.75214,0.716836748524,0.7837,0.618267984581
48,0.75038,0.712941156559,0.7828,0.620746197748
49,0.75304,0.70928043272,0.7832,0.620364236975
50,0.75002,0.71266284729,0.7829,0.621319889021
51,0.7527,0.710790717773,0.7834,0.620753199339
52,0.75038,0.713308384018,0.7817,0.618981831598
53,0.7559,0.705240511122,0.7805,0.624159797382
54,0.75184,0.710352635784,0.7848,0.620237009048
55,0.75074,0.709961548977,0.7857,0.619685024452
56,0.75374,0.706736803341,0.7855,0.619869742966
57,0.75298,0.711806542521,0.7839,0.620314280033
58,0.75608,0.70860727457,0.7802,0.62530289278
59,0.75328,0.70789830678,0.7836,0.619191136503
60,0.7506,0.70984334753,0.785,0.617635710907
61,0.75248,0.712916564445,0.7855,0.614332543659
62,0.7553,0.704376943893,0.7851,0.620905466795
63,0.75358,0.706290155659,0.7838,0.618854531717
64,0.75304,0.706780615902,0.7849,0.618480737495
65,0.75254,0.711934759026,0.7837,0.623681182718
66,0.7515,0.710347672958,0.7831,0.619968762398
67,0.75352,0.706556940365,0.7857,0.616119981861
68,0.75454,0.705471755705,0.7843,0.622510586405
69,0.75376,0.706500993681,0.7831,0.622552546597
70,0.75444,0.704094841881,0.7854,0.616825035381
71,0.75516,0.704858224125,0.7841,0.623086490202
72,0.7542,0.707285568991,0.7843,0.617763169289
73,0.75278,0.710493629036,0.7848,0.619187193727
74,0.75144,0.708200625992,0.7868,0.615480871105
75,0.75264,0.707630430851,0.7813,0.621612429476
76,0.75568,0.705441034622,0.7811,0.6226378901
77,0.75246,0.71058937603,0.7848,0.617115498066
78,0.75226,0.707223707228,0.7833,0.619806634855
79,0.75276,0.706957960167,0.7861,0.619158050108
80,0.75466,0.70456727869,0.7828,0.620814836073
81,0.7513,0.712401747713,0.7825,0.621891752148
82,0.75298,0.707463326435,0.7815,0.623669873762
83,0.7517,0.71066098259,0.7866,0.61388107233
84,0.75484,0.704101597357,0.783,0.619142883968
85,0.75426,0.709530666103,0.785,0.619408739758
86,0.7547,0.703594818826,0.7854,0.619956405926
87,0.75236,0.711007900763,0.7878,0.61261490531
88,0.75374,0.706511664886,0.7879,0.615587324142
89,0.75304,0.702848905144,0.7861,0.616367162275
90,0.75402,0.706005739555,0.785,0.61842510438
91,0.75466,0.705626101341,0.7846,0.617105872297
92,0.7554,0.703977932415,0.7863,0.61389240365
93,0.75364,0.705044001465,0.7847,0.613858091545
94,0.75544,0.701558328266,0.7862,0.615060305166
95,0.75704,0.701215749168,0.7858,0.6162919034
96,0.75456,0.705982077179,0.7857,0.615634105539
97,0.7546,0.70465941926,0.7873,0.613951910067
98,0.75548,0.704324015045,0.7829,0.617535757446
99,0.7532,0.709689870682,0.7853,0.614045102167
