1000,0.504,1.602
2000,0.665,0.959
3000,0.699,0.874
4000,0.722,0.806
5000,0.733,0.771
6000,0.745,0.737
7000,0.759,0.701
8000,0.761,0.697
9000,0.771,0.667
10000,0.774,0.659
11000,0.777,0.643
12000,0.782,0.630
13000,0.788,0.617
14000,0.790,0.610
15000,0.793,0.596
16000,0.798,0.581
17000,0.800,0.578
18000,0.802,0.573
19000,0.807,0.562
20000,0.811,0.549
21000,0.814,0.542
22000,0.815,0.535
23000,0.818,0.527
24000,0.824,0.513
25000,0.824,0.511
26000,0.824,0.509
27000,0.827,0.504
28000,0.827,0.502
29000,0.831,0.489
30000,0.832,0.488
31000,0.834,0.481
32000,0.835,0.484
33000,0.837,0.477
34000,0.839,0.471
35000,0.838,0.466
36000,0.837,0.468
37000,0.842,0.455
38000,0.842,0.455
39000,0.842,0.455
40000,0.843,0.446
41000,0.843,0.443
42000,0.845,0.440
43000,0.848,0.434
44000,0.851,0.433
45000,0.848,0.436
46000,0.851,0.428
47000,0.849,0.431
48000,0.852,0.419
49000,0.854,0.421
50000,0.852,0.424
