0,85.880,1.462
1,85.660,1.416
2,79.840,1.403
3,85.620,1.403
4,83.540,1.485
5,84.560,1.401
6,85.300,1.394
7,81.060,1.375
8,81.780,1.395
9,85.240,1.379
10,85.940,1.379
11,84.800,1.364
12,84.920,1.350
13,85.480,1.355
14,84.860,1.344
0,74.140,2.286
1,80.040,1.706
2,76.000,1.567
3,80.460,1.700
4,81.060,1.599
1000,0.521,1.987
2000,0.712,0.882
3000,0.778,0.661
4000,0.770,0.666
5000,0.802,0.573
6000,0.811,0.546
7000,0.779,0.633
8000,0.789,0.605
9000,0.797,0.586
10000,0.816,0.524
11000,0.818,0.520
12000,0.819,0.518
13000,0.826,0.501
14000,0.829,0.492
15000,0.841,0.461
16000,0.838,0.468
17000,0.823,0.509
18000,0.838,0.466
19000,0.832,0.481
20000,0.835,0.474
21000,0.846,0.444
22000,0.850,0.431
23000,0.846,0.440
24000,0.828,0.495
25000,0.839,0.457
26000,0.856,0.406
27000,0.862,0.398
28000,0.856,0.415
29000,0.868,0.378
30000,0.865,0.385
31000,0.858,0.414
32000,0.871,0.369
33000,0.870,0.374
34000,0.868,0.375
35000,0.834,0.477
36000,0.871,0.376
37000,0.866,0.387
38000,0.872,0.360
39000,0.873,0.363
40000,0.877,0.352
41000,0.875,0.354
42000,0.878,0.348
43000,0.876,0.347
44000,0.858,0.407
45000,0.882,0.337
46000,0.882,0.337
47000,0.885,0.327
48000,0.883,0.331
49000,0.880,0.331
50000,0.872,0.364
