1000,1.074
2000,0.943
3000,0.885
4000,0.865
5000,0.832
6000,0.797
7000,0.792
8000,0.785
9000,0.762
10000,0.746
11000,0.728
12000,0.729
13000,0.715
14000,0.706
15000,0.702
16000,0.695
17000,0.690
18000,0.685
19000,0.670
20000,0.660
21000,0.658
22000,0.655
23000,0.660
24000,0.654
25000,0.652
26000,0.522
27000,0.478
28000,0.458
29000,0.449
30000,0.438
31000,0.427
32000,0.423
33000,0.411
34000,0.410
35000,0.402
36000,0.403
37000,0.392
38000,0.395
39000,0.394
40000,0.394
41000,0.382
42000,0.384
43000,0.382
44000,0.381
45000,0.379
46000,0.373
47000,0.371
48000,0.373
49000,0.366
50000,0.367
