Cifar10-Adam-Step,Accuracy,Loss
578000,5.000,0.920
580000,5.000,0.928
582000,5.000,0.926
584000,5.000,0.920
586000,5.000,0.914
588000,5.000,0.941
590000,5.000,0.917
592000,5.000,0.935
594000,5.000,0.918
596000,5.000,0.912
598000,5.000,0.931
600000,5.000,0.924
602000,5.000,0.905
604000,5.000,0.930
606000,5.000,0.945
608000,5.000,0.928
610000,5.000,0.924
612000,5.000,0.912
614000,5.000,0.928
616000,5.000,0.930
618000,5.000,0.925
620000,5.000,0.918
622000,5.000,0.908
624000,5.000,0.929
626000,5.000,0.922
628000,5.000,0.933
630000,5.000,0.933
632000,5.000,0.911
634000,5.000,0.927
636000,5.000,0.926
638000,5.000,0.914
640000,5.000,0.902
642000,5.000,0.913
644000,5.000,0.904
646000,5.000,0.929
648000,5.000,0.899
650000,5.000,0.905
652000,5.000,0.922
654000,5.000,0.921
656000,5.000,0.929
658000,5.000,0.934
660000,5.000,0.912
662000,5.000,0.922
664000,5.000,0.886
666000,5.000,0.885
668000,5.000,0.936
670000,5.000,0.881
672000,5.000,0.896
674000,5.000,0.906
676000,5.000,0.893
678000,5.000,0.890
680000,5.000,0.921
682000,5.000,0.896
684000,5.000,0.921
686000,5.000,0.885
688000,5.000,0.886
690000,5.000,0.917
692000,5.000,0.913
694000,5.000,0.900
696000,5.000,0.910
698000,5.000,0.916
700000,5.000,0.901
702000,5.000,0.902
704000,5.000,0.897
706000,5.000,0.907
708000,5.000,0.909
710000,5.000,0.898
712000,5.000,0.912
714000,5.000,0.886
716000,5.000,0.884
718000,5.000,0.865
720000,5.000,0.909
722000,5.000,0.898
724000,5.000,0.894
726000,5.000,0.899
728000,5.000,0.881
730000,5.000,0.897
732000,5.000,0.874
734000,5.000,0.871
736000,5.000,0.896
738000,5.000,0.920
740000,5.000,0.902
