1000,13.168,1.601
2000,15.031,1.446
3000,15.890,1.384
4000,16.519,1.333
5000,16.947,1.299
6000,17.401,1.265
7000,17.812,1.228
8000,18.117,1.207
9000,18.343,1.180
10000,18.701,1.153
11000,18.980,1.134
12000,19.140,1.114
13000,19.387,1.096
14000,19.727,1.069
15000,20.010,1.044
16000,20.003,1.037
17000,20.331,1.017
18000,20.347,1.006
19000,20.571,0.993
20000,20.762,0.972
21000,20.955,0.960
22000,21.065,0.946
23000,21.267,0.934
24000,21.400,0.919
25000,21.517,0.910
26000,21.686,0.893
27000,21.815,0.886
28000,21.913,0.874
29000,21.997,0.866
30000,22.029,0.860
31000,22.193,0.845
32000,22.466,0.826
33000,22.492,0.825
34000,22.596,0.811
35000,22.647,0.811
36000,22.721,0.797
37000,22.870,0.792
38000,22.956,0.773
39000,23.095,0.772
40000,23.149,0.762
41000,23.253,0.757
42000,23.331,0.746
43000,23.399,0.739
44000,23.573,0.731
45000,23.568,0.724
46000,23.630,0.722
47000,23.664,0.712
48000,23.923,0.700
49000,23.839,0.706
50000,23.935,0.693
51000,24.077,0.683
52000,24.058,0.683
53000,24.206,0.669
54000,24.300,0.666
55000,24.341,0.659
56000,24.320,0.656
57000,24.488,0.649
58000,24.511,0.645
59000,24.593,0.639
60000,24.577,0.641
1000,13.134,1.596
2000,15.109,1.439
3000,15.779,1.384
4000,16.458,1.338
5000,16.912,1.303
6000,17.433,1.265
7000,17.776,1.227
8000,18.035,1.213
9000,18.358,1.185
10000,18.581,1.159
11000,18.945,1.133
12000,19.073,1.116
13000,19.408,1.098
14000,19.673,1.076
15000,19.779,1.062
16000,19.967,1.044
17000,20.188,1.029
18000,20.425,1.017
19000,20.678,0.991
20000,20.693,0.985
21000,20.930,0.966
22000,21.158,0.951
23000,21.215,0.943
24000,21.329,0.929
25000,21.483,0.921
26000,21.697,0.902
27000,21.592,0.901
28000,21.750,0.887
29000,22.033,0.868
30000,22.118,0.859
31000,22.191,0.855
32000,22.403,0.837
33000,22.359,0.837
34000,22.557,0.827
35000,22.637,0.814
36000,22.626,0.811
37000,22.833,0.795
38000,22.898,0.791
39000,22.907,0.791
40000,23.080,0.780
41000,23.202,0.767
42000,23.209,0.761
43000,23.227,0.756
44000,23.389,0.748
45000,23.480,0.740
46000,23.620,0.730
47000,23.695,0.722
48000,23.737,0.713
49000,23.853,0.709
50000,23.895,0.702
51000,23.938,0.696
52000,23.986,0.687
53000,24.053,0.681
54000,24.104,0.679
55000,24.222,0.673
56000,24.211,0.674
57000,24.234,0.668
58000,24.273,0.666
59000,24.435,0.659
60000,24.504,0.650
61000,24.545,0.644
62000,24.614,0.637
63000,24.625,0.635
64000,24.733,0.628
65000,24.712,0.626
66000,24.664,0.628
67000,24.890,0.615
68000,24.923,0.607
69000,25.020,0.605
70000,24.983,0.601
71000,25.100,0.593
72000,25.234,0.587
73000,25.229,0.588
74000,25.155,0.592
75000,25.199,0.585
