1000,0.837,0.541
2000,0.893,0.333
3000,0.911,0.272
1000,0.469,1.453
2000,0.600,1.125
3000,0.645,1.018
4000,0.664,0.956
5000,0.687,0.904
6000,0.704,0.853
7000,0.716,0.821
8000,0.731,0.779
9000,0.737,0.756
10000,0.751,0.717
11000,0.756,0.705
12000,0.768,0.671
13000,0.776,0.648
14000,0.779,0.633
1000,0.811,0.549
2000,0.820,0.514
3000,0.815,0.524
4000,0.821,0.515
5000,0.821,0.509
6000,0.825,0.502
7000,0.823,0.506
8000,0.824,0.503
9000,0.824,0.503
10000,0.825,0.499
11000,0.824,0.499
12000,0.821,0.505
13000,0.826,0.500
14000,0.825,0.493
15000,0.826,0.497
16000,0.828,0.491
17000,0.828,0.494
18000,0.828,0.494
19000,0.829,0.489
20000,0.830,0.494
21000,0.825,0.498
22000,0.828,0.492
23000,0.827,0.491
24000,0.831,0.486
25000,0.825,0.493
1000,0.825,0.502
2000,0.827,0.491
3000,0.829,0.484
4000,0.832,0.482
5000,0.828,0.486
6000,0.833,0.475
7000,0.831,0.483
8000,0.833,0.471
9000,0.830,0.484
10000,0.829,0.479
11000,0.833,0.476
12000,0.832,0.471
13000,0.831,0.478
14000,0.835,0.473
15000,0.835,0.474
16000,0.834,0.472
17000,0.832,0.477
18000,0.831,0.480
19000,0.835,0.467
20000,0.835,0.475
21000,0.834,0.471
22000,0.832,0.476
23000,0.833,0.476
24000,0.834,0.472
25000,0.833,0.473
