Wall time,Step,Value
1520385888.4734898,1000,1.637891173362732
1520385944.123813,2000,1.244455337524414
1520385992.4876053,3000,1.1226105690002441
1520386040.703274,4000,1.0489577054977417
1520386088.7428129,5000,1.00001060962677
1520386136.976419,6000,0.967093825340271
1520386184.8230827,7000,0.9460325837135315
1520386232.7504473,8000,0.9142781496047974
1520386280.6739562,9000,0.8868288993835449
1520386328.4860866,10000,0.8817516565322876
1520386376.315043,11000,0.8683151006698608
1520386424.208626,12000,0.8478155136108398
1520386472.0004997,13000,0.8363258838653564
1520386519.9580545,14000,0.8258260488510132
1520386567.8765066,15000,0.8103790283203125
1520386615.8537033,16000,0.8002917766571045
1520386663.703778,17000,0.800520658493042
1520386711.5146408,18000,0.7891282439231873
1520386759.3859515,19000,0.7762871980667114
1520386807.1945612,20000,0.7712637782096863
1520386855.0913885,21000,0.7769566178321838
1520386903.0203426,22000,0.7583727836608887
1520386951.018923,23000,0.7443385124206543
1520386999.0327928,24000,0.7408408522605896
1520387047.0115042,25000,0.7345342040061951
1520387095.0057876,26000,0.7372121810913086
1520387142.9264724,27000,0.7355058193206787
1520387190.810724,28000,0.7291728854179382
1520387238.7453191,29000,0.7345027327537537
1520387286.554865,30000,0.7138895392417908
1520387334.4289713,31000,0.7173917293548584
1520387382.1872797,32000,0.7154668569564819
1520387429.9099982,33000,0.712395429611206
1520387477.8011394,34000,0.7002997994422913
1520387525.6513011,35000,0.7052302360534668
1520387573.4702275,36000,0.7031393051147461
1520387621.2976935,37000,0.6995649337768555
1520387669.1847978,38000,0.6986754536628723
1520387717.1514692,39000,0.6885930299758911
1520387764.935406,40000,0.6950037479400635
1520387812.7760262,41000,0.6908868551254272
1520387860.6074967,42000,0.6817700266838074
1520387908.3932078,43000,0.6810555458068848
1520387956.3534675,44000,0.6877779364585876
1520388004.184146,45000,0.6703079342842102
1520388051.9925296,46000,0.6607713103294373
1520388099.8621066,47000,0.6771221160888672
1520388147.5597067,48000,0.6666211485862732
1520388195.3189828,49000,0.6711480617523193
1520388243.025357,50000,0.6748345494270325
1520388290.8388705,51000,0.6695406436920166
1520388338.6010866,52000,0.6585993766784668
1520388386.4177656,53000,0.6554409265518188
1520388434.3440082,54000,0.6670373678207397
1520388482.0659168,55000,0.6620885133743286
1520388529.7965457,56000,0.6525260806083679
1520388577.6269734,57000,0.6635425090789795
1520388625.3987236,58000,0.6504823565483093
