Wall time,Step,Value
1520385888.473598,1000,0.40062499046325684
1520385944.1238606,2000,0.5585625171661377
1520385992.487655,3000,0.6064062714576721
1520386040.70332,4000,0.6310312747955322
1520386088.7428644,5000,0.6500312685966492
1520386136.976509,6000,0.663281261920929
1520386184.823125,7000,0.6690624952316284
1520386232.7505248,8000,0.6807500123977661
1520386280.6740408,9000,0.6904062628746033
1520386328.486161,10000,0.6936562657356262
1520386376.3151042,11000,0.6952499747276306
1520386424.2086754,12000,0.702750027179718
1520386472.0005574,13000,0.7060937285423279
1520386519.9581008,14000,0.7105000019073486
1520386567.8765535,15000,0.7169062495231628
1520386615.853761,16000,0.7185312509536743
1520386663.7038417,17000,0.7198749780654907
1520386711.514686,18000,0.7215625047683716
1520386759.3859982,19000,0.7294062376022339
1520386807.1946087,20000,0.7284687757492065
1520386855.091462,21000,0.7294374704360962
1520386903.020405,22000,0.7333124876022339
1520386951.0190027,23000,0.738031268119812
1520386999.0328517,24000,0.7404999732971191
1520387047.011551,25000,0.7409374713897705
1520387095.005843,26000,0.7434062361717224
1520387142.926516,27000,0.7418749928474426
1520387190.8107805,28000,0.7434062361717224
1520387238.7453656,29000,0.7444999814033508
1520387286.554912,30000,0.746218740940094
1520387334.429025,31000,0.7458124756813049
1520387382.1873236,32000,0.7514687776565552
1520387429.910041,33000,0.7499062418937683
1520387477.8011878,34000,0.7537187337875366
1520387525.6513557,35000,0.7513124942779541
1520387573.4703245,36000,0.7506250143051147
1520387621.297744,37000,0.7528125047683716
1520387669.1848822,38000,0.7526249885559082
1520387717.1515157,39000,0.7577187418937683
1520387764.935457,40000,0.7565937638282776
1520387812.7760763,41000,0.7582499980926514
1520387860.607544,42000,0.7598749995231628
1520387908.3932545,43000,0.7600625157356262
1520387956.3535073,44000,0.7577187418937683
1520388004.1841984,45000,0.7632499933242798
1520388051.9925718,46000,0.7689687609672546
1520388099.8621476,47000,0.7632812261581421
1520388147.5597506,48000,0.7654062509536743
1520388195.3190236,49000,0.761968731880188
1520388243.0254154,50000,0.7636562585830688
1520388290.838915,51000,0.7640312314033508
1520388338.6011732,52000,0.7653437256813049
1520388386.417808,53000,0.7702500224113464
1520388434.3440747,54000,0.7680000066757202
1520388482.065996,55000,0.7678437232971191
1520388529.796586,56000,0.7727500200271606
1520388577.6270201,57000,0.7679374814033508
1520388625.3988051,58000,0.773312509059906
