ss
2.224
1.973
1.812
1.678
1.611
1.558
1.499
1.440
1.392
1.369
1.347
1.316
1.251
1.210
1.219
1.201
1.180
1.159
1.104
1.096
1.079
1.089
1.057
1.042
0.997
1.000
1.005
1.002
0.980
0.975
0.927
0.924
0.912
0.951
0.932
0.912
0.848
0.868
0.889
0.871
0.869
0.880
0.814
0.839
0.820
0.841
0.838
0.866
0.808
0.803
0.797
0.803
0.819
0.817
 0.757
 0.767
 0.763
 0.764
 0.789
 0.792
 0.733
 0.740
 0.747
 0.756
 0.764
 0.759
 0.704
 0.723
 0.762
 0.724
 0.746
 0.748
 0.712
 0.691
 0.726
 0.715
 0.713
 0.727
 0.681
 0.694
 0.690
 0.714
 0.681
 0.723
 0.657
 0.662
 0.668
 0.696
 0.695
 0.694
 0.647
 0.646
 0.666
 0.691
 0.685
 0.695
 0.645
 0.646
 0.671
 0.669
 0.664
 0.683
 0.623
 0.634
 0.665
 0.655
 0.672
 0.647
 0.604
 0.609
 0.617
 0.646
 0.655
 0.692
 0.603
 0.595
 0.628
 0.638
 0.644
 0.646
 0.597
 0.604
 0.646
 0.638
 0.649
 0.649
 0.606
 0.617
 0.579
 0.636
 0.640
 0.631
 0.591
 0.593
 0.603
 0.622
 0.616
 0.640
 0.576
 0.596
 0.610
 0.622
 0.615
 0.618
 0.564
 0.591
 0.625
 0.639
 0.640
 0.620

