1000,0.346,1.806
2000,0.467,1.486
3000,0.517,1.355
4000,0.555,1.257
5000,0.582,1.188
6000,0.604,1.129
7000,0.615,1.092
8000,0.635,1.046
9000,0.647,1.007
10000,0.659,0.978
11000,0.669,0.946
12000,0.675,0.934
13000,0.681,0.914
14000,0.689,0.889
15000,0.695,0.872
16000,0.703,0.859
17000,0.708,0.836
18000,0.713,0.817
19000,0.715,0.814
20000,0.726,0.790
21000,0.726,0.789
22000,0.729,0.768
23000,0.738,0.755
24000,0.741,0.748
25000,0.741,0.738
26000,0.748,0.723
27000,0.749,0.725
28000,0.749,0.716
29000,0.755,0.708
30000,0.757,0.694
31000,0.763,0.688
32000,0.757,0.689
33000,0.760,0.683
34000,0.765,0.669
35000,0.771,0.657
36000,0.772,0.657
40000,0.778,0.628
41000,0.783,0.620
42000,0.780,0.626
43000,0.783,0.615
44000,0.783,0.619
45000,0.786,0.606
46000,0.792,0.592
47000,0.801,0.568
48000,0.800,0.563
49000,0.800,0.560
50000,0.797,0.567
1000,0.804,0.559
2000,0.801,0.565
3000,0.800,0.563
4000,0.798,0.570
5000,0.802,0.563
6000,0.808,0.555
7000,0.802,0.556
8000,0.806,0.551
9000,0.803,0.558
10000,0.807,0.546
11000,0.804,0.560
12000,0.808,0.549
13000,0.806,0.548
14000,0.805,0.548
15000,0.804,0.553
16000,0.807,0.547
17000,0.807,0.547
18000,0.808,0.540
19000,0.814,0.528
