epoch,acc,loss,val_acc,val_loss
0,0.29262,1.8591642930603027,0.3933,1.6070264783859254
1,0.39336,1.6339175538253785,0.4415,1.4835707736968995
2,0.42812,1.5475649166870118,0.475,1.418227603149414
3,0.44868,1.5009440691375733,0.4872,1.3864401901245118
4,0.46342,1.465385457649231,0.5096,1.3347344665527343
5,0.47848,1.4272262654876708,0.5255,1.3010979972839356
6,0.4944,1.3943166367721558,0.5332,1.2670338104248047
7,0.50422,1.364347001991272,0.5451,1.2430653104782103
8,0.51462,1.3358014260101319,0.5517,1.2258857559204102
9,0.52162,1.3175641491317749,0.5658,1.190748517036438
10,0.53014,1.2995242975616454,0.5788,1.1691425987243653
11,0.54062,1.2761180515670776,0.5743,1.1686963443756104
12,0.54596,1.263960850791931,0.579,1.1534523511886596
13,0.54538,1.254101549320221,0.5829,1.143575979423523
14,0.55286,1.2409603853225708,0.5923,1.123093507385254
15,0.55922,1.2226218388175965,0.5974,1.1161936008453368
16,0.56248,1.2170827420425414,0.607,1.0868772731781007
17,0.5647,1.208644356918335,0.6034,1.0967268507003785
18,0.569,1.1971167071151734,0.6115,1.0683198907852174
19,0.57352,1.1871055780410766,0.6192,1.0549918306350707
20,0.57702,1.175915016860962,0.6112,1.0789378938674927
21,0.57952,1.1742214892959595,0.6168,1.0602933290481567
0,0.38746,1.642421464767456,0.4982,1.3674605653762817
1,0.51128,1.3492497778701782,0.5617,1.2053730914115905
2,0.56072,1.2301397463798522,0.5977,1.1249823598861695
3,0.5812,1.1728131727600097,0.6185,1.0680744762420655
4,0.5913,1.1370938179016112,0.6341,1.0329555959701537
5,0.60954,1.104347701072693,0.6308,1.0425907049179077
6,0.61618,1.0791386287307738,0.6606,0.9571622026443481
7,0.62176,1.053435747833252,0.6336,1.0141689239501954
8,0.63014,1.0336463658905028,0.6565,0.9615519316673279
9,0.63486,1.0220746188163756,0.6564,0.9734674101829529
10,0.6408,1.0068398366355895,0.6582,0.9651617374420166
11,0.64692,0.9912303659820557,0.6696,0.9301990041732788
12,0.65016,0.9815695615768433,0.6745,0.8923822910308837
13,0.65474,0.9732313859939575,0.7015,0.8512013570785523
14,0.65748,0.9632929601478577,0.7027,0.8501335000991821
0,0.40886,1.6069534355163575,0.4848,1.4114415809631347
1,0.5169,1.3447173752212525,0.5675,1.2225825765609741
2,0.56034,1.2465792278289796,0.5969,1.1227639734268189
3,0.58448,1.174094965133667,0.6509,1.0004328746795654
4,0.60512,1.1153144227218628,0.6611,0.9711568014144898
5,0.62412,1.0681116369628907,0.6591,0.9730306842803955
6,0.63602,1.032820967540741,0.6675,0.9518805993080139
7,0.64406,1.0133158997726441,0.676,0.924128480052948
8,0.65068,0.9951152067947387,0.6898,0.8849303421020508
9,0.65586,0.9757526018714905,0.6907,0.8813906094551086
10,0.66364,0.9589688238716125,0.7116,0.8429790596008301
11,0.67004,0.9407034853935242,0.7033,0.8529943700790406
12,0.67564,0.9311580004692077,0.7015,0.8567390897750854
13,0.67964,0.9151484657096863,0.7284,0.7870991159439087
14,0.6889,0.8944896838760376,0.715,0.8164630707740783
0,0.4144,1.5895684051513672,0.5225,1.3189350091934204
1,0.52464,1.3218606031036377,0.5629,1.2256244270324708
2,0.57612,1.1912411666870117,0.6202,1.0880760395050049
3,0.60296,1.1249167162322997,0.6365,1.0288416427612306
4,0.61366,1.0894697914505005,0.6481,1.0019894300460817
5,0.62134,1.0644266411209107,0.6604,0.9689787780761718
6,0.63452,1.0412347501754762,0.6824,0.9031862854003906
7,0.64224,1.014645512638092,0.6617,0.9552758363723755
8,0.6495,0.9938469530677796,0.696,0.8787832099914551
9,0.65556,0.9832734016799927,0.6871,0.8909790108680725
10,0.65954,0.9668302763748169,0.6867,0.9039274191856385
11,0.66856,0.9495795949935913,0.6892,0.8826764526367188
12,0.67144,0.9389052044487,0.697,0.8698720346450806
13,0.6739,0.930373760471344,0.7102,0.8358950791358948
14,0.67666,0.9255760816001892,0.7193,0.7983901782989502
15,0.68162,0.9092881224822998,0.7111,0.8191563520431518
16,0.68678,0.8968991929244995,0.7119,0.8192246565818787
17,0.687,0.8918807466316223,0.7283,0.7736676498413086
18,0.69048,0.8859722367286682,0.7165,0.8074007622718811
19,0.69624,0.871743217086792,0.728,0.7862939867019654
20,0.69912,0.8600258401298523,0.7396,0.7481609703063965
21,0.70244,0.8560042876625061,0.74,0.7557800661087036
22,0.70596,0.8411775893211365,0.7399,0.7423032170295716
23,0.7098,0.8319343160438537,0.749,0.7326100615501404
24,0.70968,0.8299141505622863,0.7453,0.7384734980583191
25,0.7121,0.8194231107330322,0.7453,0.7346872108459472
26,0.71468,0.8199788873863221,0.7505,0.7150033314704896
27,0.71598,0.8147771423339843,0.7373,0.7490385094642639
28,0.71968,0.8025995352363586,0.7484,0.706222189617157
29,0.71906,0.8015758219718934,0.7467,0.7336653470039368
30,0.72226,0.7983007786178589,0.7518,0.721340001964569
31,0.7226,0.7932789193916321,0.7622,0.6962582324028015
32,0.72554,0.7878916799545288,0.7589,0.699682133769989
33,0.73032,0.7803433362197876,0.756,0.7153148530960083
34,0.72858,0.7782959472846985,0.7487,0.7237458072662354
35,0.729,0.783093889503479,0.7565,0.703865761089325
36,0.73214,0.7753293047904968,0.7582,0.694861217212677
37,0.73154,0.7699322157287598,0.7304,0.7772396683692933
38,0.7354,0.7651889572525025,0.7643,0.6824352891921998
39,0.7353,0.7587412057304382,0.7692,0.6754884314537049
40,0.7375,0.7590970310401917,0.7683,0.666558983373642
41,0.73744,0.7516830337047576,0.767,0.6720170062065125
42,0.73832,0.7563077785301209,0.7604,0.6873625947952271
43,0.73916,0.749425994644165,0.754,0.7045134163856507
44,0.73878,0.7538170045757294,0.7681,0.6735639768600464
45,0.74064,0.7479389756298065,0.7519,0.7123000459671021
46,0.74246,0.7442919592094421,0.7684,0.6696218368053436
47,0.74204,0.7425494233131409,0.7683,0.6708717113494873
48,0.7458,0.7354223127937317,0.7636,0.6797313011169434
49,0.74524,0.7350185318374634,0.7762,0.6508124769210816
50,0.747,0.7333533201980591,0.78,0.6400610844612121
51,0.74554,0.7296067930221558,0.7779,0.644170627784729
52,0.74822,0.7289624481964111,0.7669,0.6745369017601013
53,0.74744,0.725803626461029,0.7742,0.6549245893478394
54,0.74806,0.7276266799926758,0.7699,0.6693235185623169
55,0.74808,0.7235524975395202,0.7751,0.6607414013385773
56,0.75134,0.7223171585464477,0.7741,0.6450925675392151
57,0.74936,0.7223351655578614,0.7737,0.6529836130142211
58,0.7523,0.7156419222736359,0.7785,0.6447892247200012
59,0.751,0.7181997255134582,0.7719,0.6605974821090699
60,0.7521,0.7175999446105957,0.7747,0.6530326211929322
61,0.7538,0.7168786416625976,0.782,0.6427232809066773
62,0.75172,0.7132314093017578,0.7872,0.6207247484683991
63,0.7552,0.7117195359039307,0.7882,0.6152614445209503
64,0.75288,0.7132179535484314,0.7754,0.6489243708133697
65,0.7542,0.7097251530838012,0.7814,0.6252387322425842
66,0.75598,0.7049504270458221,0.7872,0.6148416215896606
67,0.75568,0.7075849303245545,0.7888,0.6243802274227143
68,0.75568,0.7072446410560608,0.791,0.6128018820285797
69,0.7589,0.7022593952941895,0.7889,0.6223990293979644
70,0.75836,0.6981445659446717,0.7796,0.6353250741004944
71,0.75842,0.7023276110076905,0.7853,0.6260893088817596
72,0.75956,0.6987339291000366,0.7862,0.6124876945495605
73,0.75878,0.6991213112735748,0.7938,0.5966847506999969
74,0.76084,0.6908919596099854,0.7862,0.6179839926242828
75,0.76084,0.6944343780899048,0.7894,0.6189185544013978
76,0.76082,0.6913745997714996,0.7877,0.6128263502597809
77,0.76148,0.689799843044281,0.7936,0.6088719967365265
78,0.76104,0.6923656953430176,0.7723,0.6679199612617492
79,0.76268,0.6868492407703399,0.7901,0.6023114345550538
80,0.76354,0.6856240283203126,0.7925,0.6051793610572815
81,0.76526,0.6837339631271362,0.7891,0.613744739818573
82,0.76266,0.6860553499889374,0.79,0.6109393239498139
83,0.76462,0.6830630966377258,0.7966,0.5889426861763001
84,0.76366,0.6819669957637787,0.7913,0.6154989330291748
85,0.76492,0.6808839826107025,0.7902,0.6088328288078309
86,0.76496,0.6809997782516479,0.7933,0.6076624312877655
87,0.76326,0.6819827092170715,0.7945,0.5963351618289947
88,0.76692,0.6771896130847931,0.8006,0.5856147367477417
